TOTAL_US,MEAN_US,MIN_US,MAX_US
2224.58,8.8983,8.5210,37.1200
2183.92,8.7357,8.5210,10.1400
2178.32,8.7133,8.5200,9.8600
2177.76,8.7110,8.5210,9.7400
2176.42,8.7057,8.5000,9.5610
2176.08,8.7043,8.5200,9.8400
2174.54,8.6982,8.5000,9.5410
2177.30,8.7092,8.5200,9.6400
2176.54,8.7062,8.5000,9.8000
2175.40,8.7016,8.5000,9.9000
2174.54,8.6982,8.5200,9.6800
2176.30,8.7052,8.5000,9.6800
2176.92,8.7077,8.5000,9.7000
2177.26,8.7090,8.5200,9.6010
2176.08,8.7043,8.5200,9.8600
2175.28,8.7011,8.5200,9.7610
2175.54,8.7021,8.5000,9.5800
2175.54,8.7022,8.5000,9.6800
2175.96,8.7038,8.5400,9.6200
2176.14,8.7046,8.5000,9.8400
2175.74,8.7030,8.4800,9.7200
2177.96,8.7118,8.5200,9.7600
2175.52,8.7021,8.5210,9.7010
2176.16,8.7046,8.5200,9.8200
2176.60,8.7064,8.4600,9.7810
2174.78,8.6991,8.4800,9.6800
2176.60,8.7064,8.5400,9.8000
2177.88,8.7115,8.5200,9.6410
2175.34,8.7014,8.4810,9.6800
2175.42,8.7017,8.5000,9.6600
2176.76,8.7070,8.5200,10.0800
2174.32,8.6973,8.5000,9.6000
2175.90,8.7036,8.5200,9.5600
2179.72,8.7189,8.5000,11.4800
2176.76,8.7070,8.4810,9.8210
2175.26,8.7010,8.4600,9.6800
2176.74,8.7070,8.5000,9.7400
2175.26,8.7010,8.5000,10.1400
2176.72,8.7069,8.5200,9.6200
2178.16,8.7126,8.5000,9.7400
2176.42,8.7057,8.5000,9.7400
2176.78,8.7071,8.5000,9.5810
2177.92,8.7117,8.5200,9.8800
2174.64,8.6986,8.5200,9.7210
2177.16,8.7086,8.5000,9.7200
2176.56,8.7062,8.4800,9.6600
2176.38,8.7055,8.5400,9.7200
2176.32,8.7053,8.5010,9.7200
2176.48,8.7059,8.5000,10.5010
2175.72,8.7029,8.4810,9.6400
2176.76,8.7070,8.5400,9.7000
2177.56,8.7102,8.5400,9.7200
2175.53,8.7021,8.4800,9.7400
2175.34,8.7014,8.5210,9.6000
2174.68,8.6987,8.5200,9.5000
2173.84,8.6954,8.4810,9.6810
2175.16,8.7006,8.4800,9.7200
2176.46,8.7058,8.5000,9.7400
2174.66,8.6986,8.4800,9.7200
2177.64,8.7106,8.5400,9.7800
2176.90,8.7076,8.5010,9.8410
2173.76,8.6950,8.5000,9.7200
2192.48,8.7699,8.5200,27.2200
2175.04,8.7002,8.5200,9.9600
2172.90,8.6916,8.5200,9.8800
2172.60,8.6904,8.5000,9.8200
2172.12,8.6885,8.5000,9.6000
2173.72,8.6949,8.5200,9.7610
2172.44,8.6898,8.5000,9.7000
2174.42,8.6977,8.5000,10.3000
2173.54,8.6942,8.4810,9.6400
2171.76,8.6870,8.5000,9.6400
2173.02,8.6921,8.4800,10.4000
2172.22,8.6889,8.4810,9.6600
2172.94,8.6918,8.4800,9.6200
2172.80,8.6912,8.5000,9.5400
2173.32,8.6933,8.4400,9.6410
2173.22,8.6929,8.4400,9.8000
2174.30,8.6972,8.4400,9.6800
2173.54,8.6942,8.5000,9.8410
2172.54,8.6901,8.5000,9.6600
2172.96,8.6918,8.4800,9.7200
2173.48,8.6939,8.5010,9.6200
2174.46,8.6978,8.5000,9.7810
2171.98,8.6879,8.5000,9.8200
2173.52,8.6941,8.4600,9.8000
2175.02,8.7001,8.5200,9.7800
2172.62,8.6905,8.4800,9.8000
2174.90,8.6996,8.5200,9.7000
2173.70,8.6948,8.5200,9.8200
2171.94,8.6878,8.4600,9.6010
2173.68,8.6947,8.5000,9.6400
2175.08,8.7003,8.4810,10.0610
2172.40,8.6896,8.4800,9.9600
2173.82,8.6953,8.4800,9.7000
2175.06,8.7002,8.5200,9.7000
2173.64,8.6945,8.5200,9.8200
2174.22,8.6969,8.5000,9.6810
2175.58,8.7023,8.5000,9.9200
2173.96,8.6958,8.5210,9.8410
